Rank,Company Name,Fitness Category,LinkedIn URL
1,KEYRUS,High,https://www.linkedin.com/company/keyrus/
2,Instadeep,High,https://www.linkedin.com/company/instadeep/
3,VERMEG,High,https://www.linkedin.com/company/vermeg/
4,CAPGEMINI ENGINEERING,High,https://www.linkedin.com/company/capgemini-engineering/
5,AMARIS CONSULTING TUNISIA,High,https://www.linkedin.com/company/amaris-consulting/
6,Deloitte,High,https://www.linkedin.com/company/deloitte-tunisie/
7,EY,High,https://www.linkedin.com/company/ey-tunisia/
8,PWC,High,https://www.linkedin.com/company/pwc-tunisia/
9,KPMG,High,https://www.linkedin.com/company/kpmg-tunisia/
10,Grant thornton,High,https://www.linkedin.com/company/forvis-mazars-en-tunisie/
11,DEVOTEAM,High,https://www.linkedin.com/company/devoteam/
12,Inetum,High,https://www.linkedin.com/company/inetum/
13,TELNET HOLDING,High,https://www.linkedin.com/company/telnet-holding/
14,TRITUX GROUP,High,https://www.linkedin.com/company/tritux/
15,ARTIFICIAL INSIGHT,High,https://www.linkedin.com/company/artificial-insight/
16,AI ALGORA SOLUTIONS,High,ma3ndhomch
17,NEOXAM TUNISIA,High,https://www.linkedin.com/company/neoxam/
18,SOFRECOM,High,https://www.linkedin.com/company/sofrecom-tunisie/
19,HEWLETT PACKARD ENTREPRISE,High,https://www.linkedin.com/company/hewlett-packard-enterprise/
20,HPE,High,https://www.linkedin.com/company/hewlett-packard-enterprise/
21,HUAWEI,High,https://www.linkedin.com/company/huawei-tunisie/
22,ACG CYBERSECURITY,High,https://www.linkedin.com/company/acg-cybersecurity/
23,MAZARS,High,https://www.linkedin.com/company/forvis-mazars-en-tunisie/
24,BIAT,Medium,https://www.linkedin.com/company/biat/
25,AMEN BANK,Medium,https://www.linkedin.com/company/amen-bank/
26,ATB,Medium,https://www.linkedin.com/company/atb-banque/
27,UBCI,Medium,https://www.linkedin.com/company/ubci/
28,UIB,Medium,https://www.linkedin.com/company/uib-groupe-societe-generale/
29,Zitouna Bank,Medium,https://www.linkedin.com/company/rh-banque-zitouna/
30,Banque de Tunisie,Medium,ma3ndhomch
31,BH BANK,Medium,ma3ndhomch
32,BNA,Medium,ma3ndhomch
33,BTK BANK,Medium,ma3ndhomch
34,STB BANK,Medium,ma3ndhomch
35,WIFAK BANK,Medium,ma3ndhomch
36,Zitouna Tamkeen,Medium,https://www.linkedin.com/company/rh-banque-zitouna/
37,OOREDOO,Medium,https://www.linkedin.com/company/ooredoo-tunisie/
38,ORANGE,Medium,https://www.linkedin.com/company/orange-tunisie/
39,TUNISIE TELECOM,Medium,https://www.linkedin.com/company/tunisie-t-l-com/
40,APTIV,Medium,https://www.linkedin.com/company/aptiv/
41,VALEO,Medium,https://www.linkedin.com/company/valeo/
42,SAFRAN,Medium,https://www.linkedin.com/company/safran/
43,STELIA AEROSPACE,Medium,https://www.linkedin.com/company/stelia-aerospace/
44,MADAR CONSULTING,Medium,https://www.linkedin.com/company/madar-consulting/
45,PREDICONSULT,Medium,ma3ndhomch
46,PROWAY CONSULTING,Medium,https://www.linkedin.com/company/proway-consulting/
47,ASSURANCE MAGHREBIA,Medium,https://www.linkedin.com/company/assurances-maghrebia/
48,Assurances BIAT,Medium,https://www.linkedin.com/company/assurances-biat/
49,MAE ASSURANCE,Medium,https://www.linkedin.com/company/mae-assurances/
50,GAT ASSURANCES,Medium,ma3ndhomch
51,CNI,Medium,ma3ndhomch
52,Mass Analytics,Medium,https://www.linkedin.com/company/mass-analytics/
53,KRAB DATA CONSULTING,Medium,ma3ndhomch
54,SENTINEL DATA,Medium,ma3ndhomch
55,EL YADATA,Medium,https://www.linkedin.com/company/elyadata/
56,DATADOIT,Medium,ma3ndhomch
57,NUMERYX TUNISIE,Medium,ma3ndhomch
58,LINEDATA TUNISIE,Medium,https://www.linkedin.com/company/linedata/
59,CODIX TUNISIE DEVELOPPEMENT,Medium,ma3ndhomch
60,BIG SOFTWARE CORPORATION,Medium,ma3ndhomch
61,BIWARE,Medium,https://www.linkedin.com/company/biware/
62,3S,Low,ma3ndhomch
63,ABDVERBOOST,Low,ma3ndhomch
64,ABSHORE,Low,ma3ndhomch
65,ACCOMPANY CONSULTING,Low,ma3ndhomch
66,Actia Enginnering,Low,ma3ndhomch
67,ADDINN TUNISIE,Low,ma3ndhomch
68,Adwya,Low,ma3ndhomch
69,AERO-TRAVEL,Low,ma3ndhomch
70,AFRIQUE TRAVAUX,Low,ma3ndhomch
71,Agence de Communication ABM COM,Low,ma3ndhomch
72,Agence de Promotion de l'Industrie et de l'Innovation,Low,ma3ndhomch
73,Agence Panorama,Low,ma3ndhomch
74,AIR LIQUIDE,Low,ma3ndhomch
75,Allianceone,Low,ma3ndhomch
76,ALPHA CHALLENGE,Low,ma3ndhomch
77,ALSPECTIVE TUNISIE SARL,Low,ma3ndhomch
78,ALTAVO,Low,ma3ndhomch
79,ALTUTEX,Low,ma3ndhomch
80,AMA BUISINES,Low,ma3ndhomch
81,ANCSEP,Low,ma3ndhomch
82,ANETI,Low,ma3ndhomch
83,ANSI,Low,ma3ndhomch
84,API,Low,ma3ndhomch
85,APUS CONSULTING,Low,ma3ndhomch
86,ARABSOFT,Low,ma3ndhomch
87,Archimed,Low,ma3ndhomch
88,ARENGI,Low,ma3ndhomch
